song,artist,genres
Hold On Tight - Tommy Jayden Remix,R3HAB,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']"
Zoned (Intro Shit),Regional Overlord Sterling Silver,['meme rap']
Blind Faith,Nappy Roots,['dirty south rap']
Last Christmas,Midnite String Quartet,['bow pop']
Mother Night,A Sense of Purpose,"['american metalcore', 'metalcore']"
Up Now - Chopped & Screwed,Big Jade,['trap queen']
Walk Home,Leah Blevins,['kentucky roots']
Why I Love u___,Quentin Miller,"['atl hip hop', 'canadian hip hop', 'indie hip hop', 'underground hip hop']"
Be Great,Diablo,['chicano rap']
All Eyes on Us,Dee Cisneros,['bay area hip hop']
"Cry for Love Remix (feat_ Jay Alams, Giuseppe D_ & Carlos Berrios)",George Lamond,['freestyle']
Bonnie,Just Matthew™,['pinoy trap']
Wages - Everything Everything Remix,Bad Sounds,"['english indie rock', 'funktronica']"
Lala Is All Icicles,Jaill,['milwaukee indie']
I Know You Heard (feat_ Blvd Marc & Chino Dollar),Yung Joc,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']"
Smoking Outside,Dollar Signs,"['charlotte nc indie', 'folk punk']"
That Lovin',Armchair Boogie,['jamgrass']
Dust,Overhand Sam,['rochester ny indie']
What About Her,J_Wright,['pop r&b']
Nasu (Psalms 93_3-4),Micah Shapiro,['judaica']
Brother (feat_ MVP),Peter Clarke,['c64']
Wasted,Lindy Vision,['albuquerque indie']
Save the Queen,Elènne,['vapor twitch']
Floating_ Piano Music for Sleep,Greg Maroney,['new age piano']
Till I Get It Right,Ray Stevens,"['classic country pop', 'novelty']"
Safe Till Tomorrow - Pegboard Nerds Extended Remix,Morgan Page,"['edm', 'electro house', 'pop dance', 'progressive house']"
Outer Haven,Notions,['nu-metalcore']
The Parting of the Ways - Remastered,Tommy Duncan,"['cowboy western', 'western swing']"
Horseshoes & Hand Grenades,Close Enough,['atlanta punk']
gelato pacc!,lilwaterbed,['aesthetic rap']
Majorca,Ford Theatre Reunion,['lexington ky indie']
Let's Build a House,Priscilla Renea,['black americana']
He Aloha Waiau,Waipuna,['hawaiian']
What's a Soul,il Westo,['lo-fi rap']
Copperhead,Uh Oh,['omaha indie']
That Guy,Salaam Remi,['hip hop']
No Limit (feat_ AKTHESAVIOR),Woodie Smalls,['belgian hip hop']
Calm Sea,Nature Sounds,"['environmental', 'sleep', 'water']"
Level Up,Ali Tomineek,['conscious hip hop']
Round Here,NugLife,['underground boom bap']
I Got Moves (#UsherRaymond) [feat_ C-White],Latto,['trap queen']
March Thunder & Rain For Sleep,Thunderstorm,"['environmental', 'sleep']"
"Wildfires Near Me, Hooting Owls in the Night",Relaxation Meditation Songs Divine,['sleep']
Mood for Zen Gaya and Rain Sounds - Piano New Age,Nature Sounds,"['environmental', 'sleep', 'water']"
Japanese Zen Garden Music (Koto Music of the Shore),Shakuhachi Sakano,['sleep']
Traditional Rituals,Meditation Music Zone,['sleep']
Empathy,We Are The Movies,['columbus ohio indie']
Re-Up,Natasha Mosley,['pop r&b']
"Divertimento in F Major, K_ 213_ III_ Menuetto",Wolfgang Amadeus Mozart,"['classical', 'classical era']"
The Murders in the Rue Morgue (Part 2)_9 - The C_ Auguste Dupin Trilogy,Edgar Allan Poe,['poetry']
A Legend of a Violet Soul - Piano & Strings Version,Vladimir Sterzer,['commons']
Crawl Back,Holiday Mountain,['austindie']
Groove Me,Roberta Flack,"['adult standards', 'classic soul', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
Si me dices que sí,Laura Naranjo,['cover acustico']
The Best of Us,New Lingo,['stl indie']
Rain Sounds - Zen,Asian Zen Spa Music Meditation,"['spa', 'zen']"
Fire Down There,Duck Baker,['fingerstyle']
Without You,Jay Isaiah,['canadian contemporary r&b']
Get Home,Chi Rho,['christian a cappella']
Up in da Pocket,Suga Free,"['g funk', 'west coast rap']"
Daily Routine,Starlito,"['nashville hip hop', 'tennessee hip hop', 'trap']"
San Diego,Damu,['san diego rap']
Used To Love (DJ Workout Mix),DJ ReMix Workout Factory,['workout product']
Talk Like That,The Weeks,['mississippi indie']
Circle 11,Foam and Sand,"['ambient synth', 'organic ambient']"
Te Entrego Mi Corazón,Veronique Medrano,['new tejano']
Shootist,Tapri Grams,['westcoast flow']
Hell Yeah (feat_ Sloppy Jones & Moccasin Creek),Chad Mac,['country rap']
Another You,Miles Jaye,"['contemporary r&b', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
Inland Battle,Bjørn Lynne,['demoscene']
Making It Up,Bob Schneider,['alternative americana']
Gonna Give to Ya - 2015,Saga,['progressive rock']
Stabat Mater_ Ouverture,Jan Zach,"['baroque', 'bohemian baroque']"
Entre Linhas,WWL Rap,['rap baiano']
Hosanna,Shane & Shane,"['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']"
Breathing Exercises,Mantra Yoga Music Oasis,['yoga']
Talking That Talk,Jae Millz,"['battle rap', 'harlem hip hop']"
Keep That,Goodbye Tomorrow,['underground hip hop']
Glow,Gavin James,['irish pop']
Talisman,Ligature Marks,['portland metal']
Te Quiero Ver,Klaxel,['trap colombiano']
Murder Charge (feat_ Ty Dolla $ign),Verse Simmonds,['pop r&b']
The Highwayman,Jeff Dayton,['trop rock']
Tequila Salt and Time,David Adam Byrnes,"['arkansas country', 'classic texas country', 'red dirt', 'texas country']"
Occult,High Zombie,"['dubstep', 'gaming dubstep']"
Yêu Thương Rời Xa - Remix,Ưng Hoàng Phúc,['v-pop']
Idol Queen,The Kaseta,['azeri rap']
Weird Florida,Camp Trash,['5th wave emo']
Straw to the Pile,One Ton Pig,['wyoming roots']
Geek It Up,10k_Caash,"['dfw rap', 'viral rap']"
4U - Original Mix,Maor Levi,"['progressive house', 'progressive trance', 'uplifting trance']"
Heaven in Hell,Almost People,['north carolina emo']
Fragile Existence,Frozen Night,['otacore']
Xe Mana Bella - Fredy's Vocals Mix,Boddhi Satva,['afro house']
Kon Sa Yé La,Kolektif An Wout,['zouk riddim']
Hit Me Like That Snare - Shade _ Code Orange Remix,alt-J,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']"
Hate You to Death,Leticia Gore,['horrorcore']
Favor,David Frazier,['praise']
Renew Your Mind,Reiki Music Zone,['reiki']
A New Part of Life,Dan Romer,['soundtrack']
On You,Snailmate,['phoenix indie']
Sugar Bomb,Destroy Orbison,['texas punk']
Control Me,MyCrazyRO,['westcoast flow']
SPITSWAP,oddyssi,['emoplugg']
Mudskipper Melody,OSRSBeatz,['pixel']
Koco Bureng,Wafiq Azizah,['sholawat']
A Beautiful Day,Djsneverendingstory,['trap beats']
Good Times,Big Freedia,"['bounce', 'escape room', 'lgbtq+ hip hop', 'new orleans rap', 'trap queen']"
33 Shots,Tired4ki,['dmv rap']
Every Note the Heart Can Play,C Lanzbom,['judaica']
Pick & Roll,Snap Dogg,['detroit trap']
Wait On It,Mark Battles,"['canadian hip hop', 'indiana hip hop']"
High Rise - Chopped Not Slopped,OG Ron C,"['chopped and screwed', 'houston rap']"
2 CLOSE (feat_ Drew York),Gideon,"['alabama metal', 'american metalcore', 'christian metalcore', 'deathcore', 'melodic metalcore', 'metalcore']"
homura (Morning Beauty Piano Cover)(Stella Sol Chill Groove Remix) - From The Movie _Demon Slayer_ Kimetsu no Yaiba_,Circle of Notes,['bgm']
Outré,Krankbrother,['deep techno']
Dirty Gals,Ron Josol,['canadian comedy']
Watch the Way,Pearlene,"['alternative roots rock', 'modern blues rock']"
"Symphony No_ 4 in A Major, Op_ 90, MWV N16 _Italienische__ I_ Allegro vivace",Felix Mendelssohn,"['classical', 'early romantic era', 'german romanticism']"
Different Room,OnFully,['detroit hip hop']
"20 Mélodies, Op_ 21_ No_ 13, Absence",Georges Bizet,"['classical', 'french opera', 'french romanticism', 'late romantic era']"
Everything,Ha Ha Tonka,"['kc indie', 'springfield mo indie']"
"Back to the Bars, Pt_ 2",DJ Kay Slay,['battle rap']
Ratchet Taste In Women,KINGMOSTWANTED,"['cali rap', 'viral rap', 'westcoast flow']"
Human (IV Fridays),Brooke Fraser,"['nz christian', 'nz pop']"
Remember When,Austin Upchurch,"['classic texas country', 'red dirt']"
Now & Next,Jay Fizzle,['memphis hip hop']
Last Minute,New Circle,['oakland indie']
"Amsterdam, Zo Zie Ik Je Graag",Sjors Van Der Panne,['dutch pop']
"Beethoven_ Piano Sonata No_ 1 in F Minor, Op_ 2 No_ 1_ I_ Allegro",Ludwig van Beethoven,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
Il Volo,Deep Sleep Relaxation,['sleep']
Bourbon on a Broken Heart - Empty Bottle Edit,Jacob Powell,['country pop']
Youtuber Diss Track,Daddyphatsnaps,"['anime drill', 'anime rap']"
I Am a Junkee,Phunk Junkeez,['rap rock']
A Cold Play,Dormir Mejor Academy,['musica de fondo']
Won It All,NTY MAGNIFY,['apostolic worship']
Se Que Te Va a Doler,18 Kilates,"['cuarteto', 'cumbia pop', 'cumbia villera']"
Neptune Soul Charge,Buenos Diaz,['austin rock']
"When Can Our Love Begin - Earl TuTu, John Khan & Dj Spen One Kiss Dub",Kimara Lovelace,"['deep house', 'vocal house']"
Starry Night,Sweet Angel,['southern soul blues']
Rain Sound_ Forest Chill,Rain,['rain']
ASMR - Ear massage with lots of honey_pt1,ASMRbyABC,['asmr']
Deep Dark Galaxy (From _Super Mario Galaxy_),Whaleinator,['rhythm game']
As the Sky Melts,Michael Michaelson,['focus beats']
Where You Used to Be,The Apartments,['melancholia']
Popurri Pa' Mojar Garganta - En vivo,La Descendencia De Rio Grande,['norteno-sax']
Rich Dope Fiend,Big Homie DreCash,['milwaukee hip hop']
War with Me (feat_ Nef the Pharaoh & Yhung T_O),Kt Foreign,['cali rap']
Delta Waves to Break Through Insomnia,Asian Zen Meditation,['zen']
Davey,Royal Sons,['fort worth indie']
No Lighter,Mozzy,"['cali rap', 'sacramento hip hop']"
Trust None,Rico 2 Smoove,"['bay area hip hop', 'cali rap', 'sacramento hip hop']"
How Sweet It Is,Zach Deputy,"['jam band', 'one-person band']"
九歌·东皇太一,Winky诗,['zhongguo feng']
Catch the Wind - Northeast Kingdom Remix,High Highs,['shimmer pop']
Querencia,Solarstone,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
Take Control,Anneston,['lao hip hop']
Freeverse 2,Ekoh,['indie pop rap']
Tweedjall,Ernie Johnson From Detroit,['cincinnati indie']
Y Me Da Vergüenza,Norteñisimo Zierra Azul,['norteno-sax']
Rover - GleeshMix,Fat Trel,['dmv rap']
Box,Shabazz PBG,['dmv rap']
All the Love You Left Me - Acoustic,Sara Evans,"['contemporary country', 'country', 'country dawn', 'country gospel', 'country road']"
Company Clothes,Cole Scheifele,['modern indie folk']
Big Dawg,Aaron Dews,"['christian hip hop', 'christian trap']"
King Of Kings,Arkansas Gospel Mass Choir,['praise']
Das Wettersteiner Mandl,Quadro Nuevo,['tango']
Campfire - Audiotree Live Version,Long Neck,"['5th wave emo', 'new jersey indie', 'small room']"
Cyberpink,Scraton,['otacore']
Safety,WEVLTH,['wave']
Erviv,Enoid,"['autonomous black metal', 'swiss black metal', 'swiss metal']"
Retro Goes Off !!! _Thanks For 9K_,Tae Retro,['meme rap']
Pressure (feat_ Lil Chicken),Gwapo Chapo,['milwaukee hip hop']
My Ex Came Back For Xmas,John Major,['finnish techno']
Pussy,Tone Trump,['philly rap']
Escape Pod,Raw Thrills,['popgaze']
Life Of My Love,Jody Booth,"['classic texas country', 'red dirt']"
Too Real,FIDLAR,"['indie garage rock', 'noise pop']"
Distant Rain,Echoes Of Nature,['environmental']
Do You Think About Me,Caitlyn Smith,['country pop']
Calming Sounds for Trouble Sleeping,Deep Massage Tribe,['massage']
Bye,Jhameel,['shimmer pop']
Scooby Doo Pa Pa (Remix),Dj Kass,['chilean hardcore']
Anger & Grace,My Brothers And I,['indiecoustica']
Bare Hands Bare Feet - Demo,The Bright Light Social Hour,"['austin rock', 'austindie']"
Prince - Melodic Chill Hip Hop Beat Mix,LOOPGOONZ BEATS,['beats']
I'll Always Be There,Lonnie Spiker,['deep contemporary country']
Niagara Falls Noise,Cats Music Zone,['pet calming']
Look Up to Me,3xbravo,['indie hip hop']
Thursday,Daniel Weatherspoon,['praise']
Pile Driver,Supatight,['asheville indie']
Tears in the Rain,It It,"['collage pop', 'pittsburgh indie']"
Raid The Convent,Nunslaughter,"['black death', 'black metal', 'death metal', 'deathgrind', 'pittsburgh metal']"
I Am Not American,Kāwika Aspili,['jawaiian']
Por Que No,Los Caporales de Chihuahua,['musica chihuahuense']
Movin & Groovin (feat_ Polo 2G),Yung Joc,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']"
Days in Repetend,Spooky Cigarette,['san diego indie']
"Leaving Time - Live In Los Angeles, Ca 2016",Jam in the Van,['west coast reggae']
Good Love,Aly & AJ,"['dance pop', 'girl group', 'post-teen pop']"
The Eyes - Ternion Sound Remix,ENiGMA Dubz,"['chillstep', 'classic dubstep', 'deep dubstep']"
Alive,Doll Baby,['virginia punk']
Painting On Your Face Pt_2,Luna Bloom ASMR,['asmr']
Salt Spray Sea,Ocean Waves For Sleep,"['environmental', 'sleep']"
That Spirit of Christmas,JJ Weeks Band,['ccm']
Negus Poem 1 & 2,keiyaA,"['alternative r&b', 'experimental r&b']"
Afternoon Reflection,Robert C_ Fullerton,['connecticut indie']
Kenge per Kol Zef Uken,GJOVALIN SHANI,['cifteli']
Insomnia Cure,Relaxing Zen Music Therapy,"['therapy', 'zen']"
"Songs of Farewell (Arr_ M_ Knight for Brass Septet)_ No_ 4, There Is an Old Belief",Septura,['brass ensemble']
Yin Yoga Music,Oasis of Relaxation and Meditation,['meditation']
Mama Don't Allow It - Live,Bunny Berigan,"['big band', 'jazz trumpet', 'swing', 'vintage jazz']"
Nonna Removes The Malocchio From You Pt_2,The White Rabbit ASMR,['asmr']
Always Thinking of You (Instrumental),Engelwood,['chillhop']
Raro presagio - Remastered,Lino Borges,['bolero cubano']
Tell U Dat - Remix,Trouble,"['atl hip hop', 'memphis hip hop', 'trap']"
1 John 4_9,Awana,['vbs']
More Than You Know,Motherfolk,['cincinnati indie']
Train To Zion,Linval Thompson,"['dub', 'reggae', 'rocksteady', 'roots reggae', 'uk dub']"
Laska z bloku,El Nino,['czech hip hop']
Get Blowed,Worldwide,['san antonio rap']
Over It (Cedric Gervais vs_ Drax Project),Drax Project,['nz pop']
Night by the Lake,Relaxmydog,['pet calming']
Iron Lion Zion,Rude Boy George,['reggae cover']
Pink Heart - Yoste Remix,Meadowlark,['vapor pop']
PAPER ROUTE,Old Grape God,['portland hip hop']
Late Night Study Aid,Study Music & Sounds,['sleep']
Stuck in '96,The Big News,"['modern ska punk', 'norman ok indie']"
Lay My Head Down and Cry,Man About a Horse,['neo-traditional bluegrass']
Moonlight,Seejayxo,['emo rap']
Excelsior Sex,Sex Music Zone,['erotica']
Little Kings,No Dice,['columbus ohio indie']
Alive at the Same Time,Matthew Milia,['detroit indie']
Kitchen,Ismo Z17,['rap francais']
Deep Elem Blues - Live,Jerry Garcia,"['country rock', 'jam band', 'jamgrass', 'roots rock']"
Sleep Music,Music For Absolute Sleep,['sleep']
Pretty Enough,Halogens,"['asbury park indie', 'diy emo', 'new jersey indie']"
Los Scanners,Brytiago,"['reggaeton', 'trap latino', 'urbano latino']"
"Bands & Bows, Pt_ 1",Wavytheking,['kentucky hip hop']
This Thing,The Rust Belt Brigade,['buffalo ny indie']
Lotus,Bryan Divisions,['spiritual hip hop']
No Le Digas,Skarlet Official,['reparto']
Cugins,Chubs,"['boom bap', 'drumless hip hop']"
In the Year of Jubilee,The Duskwhales,['dc indie']
Just One Look,Doris Troy,['northern soul']
"Sonata No_ 3 in E-Flat Major, Op_ 12 No_ 3_ I_ Allegro con spirito",Ludwig van Beethoven,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
Chapter 2_3 & Chapter 3_1 - Ezra,Christopher Glyn,['bible']
Born To Do This,OSRSBeatz,['pixel']
Carry On,Marcel P_ Black,['baton rouge rap']
My Kind of Place,Cannon Brand,['texas country']
Rice,Winston,['modern indie pop']
need u more,SHADED,['uk pop punk']
Put Some Country in Your Country,Cory Jackson,['arkansas country']
The Coral Snake Hates His Neck,Derrick Brown,['slam poetry']
Blue Rag (feat_ Nipsey Hussle & Ad),Gijoe_omg,['west coast trap']
Get Together (Inst_),Ak Dan Gwang Chil,"['joseon pop', 'k-indie']"
Gingerbread House,Tammie Brown,['strut']
Gran Jefe,PG RA,['south carolina hip hop']
Namaste,Buddhist Meditation Music Set,['meditation']
Teen Rebel,954mari,['anime rap']
OPF,The Dead Coats,['texas punk']
You Want It Too,Harbor & Home,['indiecoustica']
"Backwards Blues (30 Days, 30 Songs)",Adia Victoria,"['alternative americana', 'black americana', 'folk', 'roots rock']"
nitecap,resort realism,['alabama indie']
Royals (8D Audio),creamy,"['sad lo-fi', 'slowed and reverb', 'sped up']"
Never a Day,The Hedgerow Folk,['christian indie']
Uzi,Bunbun Beats,"['beats', 'trap beats']"
URKLE (feat_ Rucci & Leeky Bandz),1takejay,"['cali rap', 'westcoast flow']"
Cheap Perfume (feat_ Pleasant Pictures),Strange Familia,['slc indie']
What Happens_,The LOX,"['dirty south rap', 'east coast hip hop', 'hardcore hip hop']"
Bitch I'm Lit,Rubberband OG,['alabama rap']
I'd Rather Be Me (From _Mean Girls_),Cristina Vee,['otacore']
Tu Estupida Aventura,Edgar Aguilar _El Narquillo_,['corridos clasicos']
WTF,Robb Bank$,"['cloud rap', 'dark trap', 'miami hip hop', 'underground hip hop']"
The Shadow of Your Smile,Terry Gibbs,['jazz vibraphone']
Calm New Age,Sleep Sound Library,"['environmental', 'sleep']"
Love Goals,Indii G_,"['lo-fi chill', 'sad rap']"
Siempre Te Espero,Los Coyotes,['classic colombian pop']
Negative One,Rich NuNu,['brooklyn drill']
Back Then,Yb4l,['san diego rap']
Extraordinary Sounds for Bebes Especialistas and Naturalis,ASMR Rain Sounds,"['asmr', 'environmental']"
Thoroughbreds,Darren Fung,['deep soundtrack']
"High Upon The Mountain - Live Session, Los Angeles, CA, 2019",Jam in the Van,['west coast reggae']
What Can I Say,The Squarshers,"['arkansas indie', 'jamgrass']"
Aloha Summer Time,Typical Hawaiians,['jawaiian']
Automatic (Remix),Lucian,['vapor twitch']
El Portón _ El Pantalón _ Que Nadie Se Vaya,Manny Trinidad,['cuatro puertorriqueno']
Send It,Opiuo,"['glitch', 'glitch hop', 'nz electronic']"
Sakura,Oran Etkin,"['balafon', 'israeli jazz']"
Thunderstorm Sound Effect,Thunderstorm Sound Bank,"['environmental', 'water']"
T Shirt - Original,DJ Pro Code,['chopped and screwed']
Vos y Yo,NAUEL,['indie cordoba']
Show Me,P3,['ohio hip hop']
You Fire Me Up,Davina Joy,['bay area hip hop']
Watchu Looking At,Stoned Level,"['dubstep', 'gaming dubstep', 'riddim dubstep']"
My Old Bike,Gustafer Yellowgold,['kindie rock']
The Window (Live),Trout Fishing in America,"[""children's folk"", 'kindie rock']"
Right Where I Belong (Single from _Brian Wilson_ Long Promised Road Soundtrack_),Brian Wilson,"['baroque pop', 'sunshine pop']"
Appalachian Nightmare,Justin Townes Earle,"['alternative country', 'folk', 'indie folk', 'nashville americana', 'new americana', 'roots rock', 'singer-songwriter']"
Purple_ A Dedication (feat_ Evan Ford & Eris Ford),Jered Sanders,"['christian hip hop', 'christian trap']"
No Make Up,K-Young,"['pop r&b', 'slow game']"
Til The Break Of Dawn,Upon A Burning Body,"['deathcore', 'melodic metalcore', 'metalcore', 'texas metal']"
Hard to Miss (From _Final Fantasy XIV_) [Metal Version],ToxicxEternity,['scorecore']
In Da Front,Duwap Kaine,"['dark plugg', 'pluggnb']"
Not Letting Go (2013),Princewhateverer,['otacore']
Undefined,Kasher Quon,"['detroit hip hop', 'detroit trap', 'scam rap']"
Magical Journey,Buddhist Meditation Music Set,['meditation']
Drink of You,Pokey LaFarge,['new americana']
Into The Woods,Tycho,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']"
Christ Is Risen (Live),DBU Chapel Worship,['pop worship']
Basalisk - Audiotree Live Version,Donovan Wolfington,"['diy emo', 'midwest emo', 'new orleans indie']"
